Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
416,Obi Toppin,PF,24,NYK,16,0,18.2,3.5,7.6,0.463,1.6,4.2,0.388,1.9,3.4,0.556,0.57,0.6,0.7,0.909,0.8,3.3,4.1,1.1,0.5,0.3,1,1,9.3
417,Juan Toscano-Anderson,SF,29,LAL,10,0,12.3,1,2.5,0.4,0.2,1.1,0.182,0.8,1.4,0.571,0.44,0.4,0.5,0.8,0.1,2,2.1,0.5,0.3,0.3,0.8,1.7,2.6
418,Karl-Anthony Towns,PF,27,MIN,16,16,34.3,7.6,14.7,0.515,2.1,5.7,0.363,5.5,9,0.611,0.585,4.1,4.5,0.903,1.8,7.2,8.9,5.1,0.7,0.6,2.9,3.8,21.3
419,Gary Trent Jr.,SG,24,TOR,14,14,32,5.8,13.9,0.415,2.2,6.8,0.326,3.6,7.1,0.5,0.495,2.8,3.6,0.78,0.7,1.2,1.9,1.4,1.4,0.2,1,1.3,16.6
420,P.J. Tucker,PF,37,PHI,16,16,28.9,1.7,3.1,0.551,0.7,1.6,0.44,1,1.5,0.667,0.663,0.2,0.3,0.75,1.2,3.2,4.4,0.9,0.6,0.4,1.2,2.7,4.3
421,Myles Turner,C,26,IND,10,10,28.9,5.8,10.6,0.547,1.2,3,0.4,4.6,7.6,0.605,0.604,5.4,6.5,0.831,1.9,7,8.9,1.4,0.4,3,1.9,3.7,18.2
422,Jonas Valan?i?nas,C,30,NOP,16,16,23.6,4.9,9.6,0.516,0.5,1.3,0.4,4.4,8.3,0.534,0.542,3,3.6,0.842,2.9,6.1,9.1,2.1,0.4,0.3,1.6,2.4,13.4
423,Jarred Vanderbilt,PF,23,UTA,16,16,25.2,3.4,5.9,0.568,0.4,1.2,0.368,2.9,4.8,0.618,0.605,0.8,1.3,0.571,2.5,6,8.5,2.8,1.1,0.3,1.7,3.6,7.9
424,Fred VanVleet,PG,28,TOR,12,12,37.4,5.9,15.5,0.382,3.3,8.7,0.375,2.7,6.8,0.39,0.487,3.4,4,0.854,0.6,2.8,3.3,6.8,1.9,0.6,1.6,2.7,18.5
425,Devin Vassell,SG,22,SAS,12,10,31.8,7.6,16.2,0.469,3.2,7.5,0.422,4.4,8.7,0.51,0.567,2.1,2.8,0.758,0.1,3.8,3.8,3.3,0.8,0.5,1.6,1.3,20.4
426,Gabe Vincent,PG,26,MIA,15,0,26.3,3.6,8.7,0.415,1.6,4.9,0.324,2,3.7,0.536,0.508,1.4,1.7,0.84,0.3,2,2.3,3.1,0.9,0.1,1.5,2.7,10.2
427,Noah Vonleh,C,27,BOS,12,1,10.6,0.8,1.6,0.526,0.1,0.2,0.5,0.8,1.4,0.529,0.553,0.2,0.2,1,1.3,1.7,3,0.3,0.2,0.5,0.8,2.3,1.9
428,Nikola Vu?evi?,C,32,CHI,16,16,31.2,5.9,12.8,0.463,1.6,4.3,0.382,4.3,8.6,0.504,0.527,2.3,2.6,0.878,2.6,9.1,11.7,2.9,0.3,0.9,2.3,2.4,15.8
429,Dean Wade,PF,26,CLE,11,4,22.8,2.5,4.6,0.529,1.6,3.3,0.5,0.8,1.4,0.6,0.706,0.7,1,0.727,0.5,2.8,3.3,1,0.5,0.4,0.4,2.5,7.3
430,Franz Wagner,SF,21,ORL,17,17,33.9,7.4,15.1,0.492,1.2,3.9,0.318,6.2,11.2,0.553,0.533,3.2,3.7,0.873,0.9,3.3,4.2,4.5,0.8,0.3,2.7,2.5,19.3
431,Ish Wainright,SF,28,PHO,1,0,1,1,2,0.5,1,2,0.5,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,3
432,Jabari Walker,SF,20,POR,8,0,9,1.1,2.1,0.529,0.1,0.6,0.2,1,1.5,0.667,0.559,0.5,0.8,0.667,0.6,1.9,2.5,1,0.1,0.1,0.3,0.8,2.9
433,Lonnie Walker IV,SG,24,LAL,12,12,31.3,6.2,13.1,0.471,1.8,5,0.35,4.4,8.1,0.546,0.538,2.5,3,0.833,0.4,1.9,2.3,1.8,1,0.6,1.2,2.1,16.6
434,John Wall,PG,32,LAC,13,0,22.2,4.5,10.5,0.426,0.8,3.5,0.244,3.6,7,0.516,0.467,1.8,3.2,0.585,0.3,2.3,2.6,5.7,1.2,0.2,1.9,1.8,11.6
435,Duane Washington Jr.,SG,22,PHO,8,0,7.8,2,4.9,0.41,0.9,2.8,0.318,1.1,2.1,0.529,0.5,0,0.3,0,0,0.4,0.4,0.9,0,0,0.3,0.1,4.9
436,P.J. Washington,PF,24,CHO,17,17,32.6,5.9,13.6,0.433,1.8,5.5,0.319,4.1,8.1,0.511,0.498,2.4,2.9,0.816,1.2,3.6,4.8,2,0.8,0.9,1.7,2.8,15.9
437,TyTy Washington Jr.,PG,21,HOU,1,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,1
438,Yuta Watanabe,SF,28,BRK,13,0,17.7,2.8,4.6,0.6,1.5,2.8,0.556,1.2,1.8,0.667,0.767,0.5,0.7,0.667,0.8,2.2,2.9,0.8,0.2,0.5,0.3,1.1,7.5
439,Lindy Waters III,SG,25,OKC,4,0,15.3,1.8,5.5,0.318,1.5,5.3,0.286,0.3,0.3,1,0.455,0,0,0,0.5,2,2.5,0.5,0.8,0,0,1,5
440,Trendon Watford,PF,22,POR,7,0,15.3,1.4,3,0.476,0,0.6,0,1.4,2.4,0.588,0.476,1.3,1.4,0.9,0.4,2.1,2.6,2,0.9,0,1.1,2.1,4.1
441,Peyton Watson,SG,20,DEN,5,0,2.6,0.6,1.8,0.333,0,0.2,0,0.6,1.6,0.375,0.333,0,0,0,0.4,0.2,0.6,0,0,0,0,0.2,1.2
442,Blake Wesley,SG,19,SAS,2,0,11.5,3,4.5,0.667,1,1.5,0.667,2,3,0.667,0.778,1,2,0.5,0.5,0.5,1,2,0,0,1,1.5,8
443,Russell Westbrook,PG,34,LAL,13,3,29.4,5.5,13.7,0.404,1.4,4.2,0.327,4.2,9.5,0.439,0.455,3.4,4.2,0.8,1.2,4.3,5.5,7.5,1.1,0.4,3.8,2.6,15.8
444,Coby White,PG,22,CHI,8,0,19.6,2.6,7,0.375,1.3,4.4,0.286,1.4,2.6,0.524,0.464,0.6,1.1,0.556,0.1,1.5,1.6,1.8,0.6,0,0.9,1.9,7.1
445,Derrick White,SG,28,BOS,16,12,26.6,3.6,7.6,0.471,1.8,3.9,0.452,1.8,3.7,0.492,0.587,1.6,1.8,0.893,0.6,2.8,3.3,3.4,0.8,0.9,0.7,2.6,10.4
446,Jack White,SF,25,DEN,3,0,2.7,0,0.7,0,0,0,0,0,0.7,0,0,0,0,0,0.7,0.3,1,0,0.3,0,0,0,0
447,Aaron Wiggins,SG,24,OKC,13,5,21.2,2.3,5,0.462,0.8,1.9,0.4,1.5,3.1,0.5,0.538,0.8,1.1,0.786,0.9,3.1,4,2,0.5,0.3,0.8,1.8,6.2
